日期,收盘,开盘,高,低
2026/5/22,"7,473.47","7,468.82","7,506.32","7,463.29"
2026/5/21,"7,445.72","7,410.78","7,465.96","7,389.48"
2026/5/20,"7,432.97","7,369.19","7,435.69","7,357.46"
2026/5/19,"7,353.61","7,375.75","7,395.32","7,333.68"
2026/5/18,"7,403.05","7,415.07","7,434.06","7,353.17"
2026/5/15,"7,408.50","7,445.11","7,454.85","7,397.50"
2026/5/14,"7,501.24","7,454.40","7,517.12","7,454.40"
2026/5/13,"7,444.25","7,409.12","7,460.04","7,375.13"
2026/5/12,"7,400.96","7,390.63","7,409.57","7,338.54"
2026/5/11,"7,412.84","7,385.31","7,428.97","7,384.20"
2026/5/8,"7,398.93","7,362.97","7,401.50","7,362.97"
2026/5/7,"7,337.11","7,376.78","7,385.02","7,321.25"
2026/5/6,"7,365.12","7,294.14","7,369.22","7,294.14"
2026/5/5,"7,259.22","7,233.62","7,273.26","7,233.62"
2026/5/4,"7,200.75","7,228.38","7,244.54","7,174.12"
2026/5/1,"7,230.12","7,234.54","7,272.52","7,229.32"
2026/4/30,"7,209.01","7,161.75","7,219.83","7,126.15"
2026/4/29,"7,135.95","7,131.61","7,145.63","7,107.86"
2026/4/28,"7,138.80","7,133.74","7,152.52","7,115.17"
2026/4/27,"7,173.91","7,152.72","7,178.74","7,146.72"
2026/4/24,"7,165.08","7,136.48","7,168.59","7,112.82"
2026/4/23,"7,108.40","7,118.80","7,147.78","7,046.55"
2026/4/22,"7,137.90","7,102.91","7,138.64","7,102.91"
2026/4/21,"7,064.01","7,122.64","7,137.27","7,050.20"
2026/4/20,"7,109.14","7,117.05","7,122.65","7,084.41"
2026/4/17,"7,126.06","7,074.55","7,147.52","7,074.55"
2026/4/16,"7,041.28","7,037.78","7,051.23","7,008.52"
2026/4/15,"7,022.95","6,978.17","7,026.24","6,967.13"
2026/4/14,"6,967.38","6,910.20","6,969.42","6,905.17"
2026/4/13,"6,886.24","6,806.47","6,887.00","6,790.02"
2026/4/10,"6,816.89","6,839.24","6,845.77","6,808.46"
2026/4/9,"6,824.66","6,783.69","6,835.31","6,761.55"
2026/4/8,"6,782.81","6,754.36","6,793.50","6,740.28"
2026/4/7,"6,616.85","6,601.93","6,618.26","6,534.55"
2026/4/6,"6,611.83","6,587.66","6,618.13","6,579.72"
2026/4/2,"6,582.69","6,512.61","6,601.91","6,474.94"
2026/4/1,"6,575.32","6,556.56","6,609.67","6,554.29"
2026/3/31,"6,528.52","6,395.88","6,539.05","6,395.88"
2026/3/30,"6,343.72","6,403.37","6,427.31","6,316.91"
2026/3/27,"6,368.85","6,453.89","6,453.89","6,356.08"
2026/3/26,"6,477.16","6,555.86","6,573.22","6,473.79"
2026/3/25,"6,591.90","6,598.35","6,633.94","6,568.41"
2026/3/24,"6,556.37","6,552.09","6,595.75","6,525.11"
2026/3/23,"6,581.00","6,574.96","6,651.62","6,565.55"
2026/3/20,"6,506.48","6,594.66","6,594.66","6,473.52"
2026/3/19,"6,606.49","6,583.12","6,636.74","6,557.82"
2026/3/18,"6,624.70","6,697.16","6,705.18","6,621.66"
2026/3/17,"6,716.09","6,722.35","6,754.30","6,710.80"
2026/3/16,"6,699.38","6,674.37","6,729.79","6,674.37"
2026/3/13,"6,632.19","6,673.49","6,733.30","6,623.92"
2026/3/12,"6,672.62","6,740.88","6,740.88","6,670.40"
2026/3/11,"6,775.80","6,790.09","6,811.15","6,745.59"
2026/3/10,"6,781.48","6,796.56","6,845.08","6,759.74"
2026/3/9,"6,795.99","6,699.80","6,810.44","6,636.04"
2026/3/6,"6,740.02","6,769.03","6,773.42","6,711.56"
2026/3/5,"6,830.71","6,851.08","6,870.43","6,770.78"
2026/3/4,"6,869.50","6,831.69","6,885.94","6,811.64"
2026/3/3,"6,816.63","6,800.26","6,840.05","6,710.42"
2026/3/2,"6,881.62","6,824.36","6,901.01","6,796.85"
2026/2/27,"6,878.88","6,856.54","6,882.96","6,831.74"
2026/2/26,"6,908.86","6,944.74","6,947.25","6,859.73"
2026/2/25,"6,946.13","6,915.15","6,952.51","6,915.15"
2026/2/24,"6,890.07","6,837.37","6,899.17","6,815.43"
2026/2/23,"6,837.75","6,901.25","6,916.96","6,819.82"
2026/2/20,"6,909.51","6,843.26","6,915.86","6,836.33"
